Name,Title,Research question,Data type,Bulk/single cell,Which level,Model architecture," Passive vs. Active Approaches",Taxonomy (Table 3. Zhan et al),Post-hoc interpretation method,Interpretation types,Prior knowledge,Computational resources used,Sample size,Inputsize,Advantage,Disadvantage,Notes,old_interpretation_column,Why interpretable,Last edited time
https://academic.oup.com/g3journal/article/11/1/jkaa036/6105578,Visualizing population structure with variational autoencoders,Visualize population structure,SNPs,Bulk,SNPs,VAE,active,"global, hidden semantics",Other,"connection-weights, visualize embedding",,GPU (<13 GB),">100 & < 200, >1000 & <5000, unspecified",< 100 000,"simple, Easy to plot",limited embedding with two latent variables,,other,Plot two latent nodes,"February 16, 2023 2:12 PM"
https://www.nature.com/articles/s42003-021-02622-z,GenNet framework: interpretable deep learning for predicting phenotypes from genetic data,Predicting phenotypes,SNPs,Bulk,"Cell type, Genes, Pathways, SNPs, Tissue type",VNN (dense),active,"attribution, global, hidden semantics",Other,"connection-weights, prior knowledge","GTEx, Gene-annotations, KEGG","CPU, GPU (<13 GB)",">100 & < 200, >5000 & <10 000",> 1 mil,Every learned weight has a representation,"limitedly data driven, quality of prior knowledge",,"GTEx, KEGG, connection-weight, gene-annotations, prior-knowledge","Prior knowledge, weight per connection. (KEGG, gene annotations, GTEx)","February 16, 2023 2:13 PM"
https://www.nature.com/articles/s41586-021-03922-4,Biologically informed deep neural network for prostate cancer discovery,Predicting cancer,"CNV, CpGs (methylation), Fusion, SNV, mRNA (gene expression)",Bulk,"Genes, Pathways, SNPs",VNN (dense),active,"attribution, global, hidden semantics",DeepLIFT,"backpropagation, prior knowledge","Gene-annotations, Reactome","CPU, GPU (<13 GB), Unspecified",>1000 & <5000,< 100 000,Every learned weight has a representation,"limitedly data driven, quality of prior knowledge",,DeepLIFT,DeepLIFT,"February 16, 2023 2:12 PM"
https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009826,AIME: Autoencoder-based integrative multi-omics data embedding that allows for confounder adjustments,"Extract embedding from one omics that captures the relation to another omics ","mRNA (gene expression), miRNA",Bulk,miRNA,AE,passive,"attribution, global, hidden semantics",,permutation,,Unspecified,>500 & <1000,< 10000,"Easy method, can be applied to any network","only pairwise effects observable (1 input feature - 1 output feature), model-based approach needed to select which features really are important",,permutation,Permutation of input - observe effect on output,"February 16, 2023 2:12 PM"
https://www.nature.com/articles/s41467-021-26017-0,VEGA is an interpretable generative model for inferring biological network activity in single-cell transcriptomics,VEGA: building an interpretable AE for single cell data,sc-transcriptomics,Single-cell,Gene sets,VAE,active,"attribution, hidden semantics, semi-local",,prior knowledge,"Gene-Onthology, Gene-annotations, MolSigDB, PANTHER, Reactome",Unspecified,">10 000 & <50 000, >1000 & <5000",< 10000,latent variables are directly interpretable as the activity of biological modules; can do well-known analyses (e.g. differential gene expression) directly on latent features,"quality of prior knowledge, linear (single layer) decoder → generative capacity limited; “sacrifices predictive performance for biological interpretability”",not sure semi-local or global,"gene-annotations, prior-knowledge","latent variables are forced to be connected to only a specific set of genes → activity of latent feature = activity of gene set ","February 16, 2023 2:13 PM"
https://www.biorxiv.org/content/10.1101/2022.02.05.479217v1,Biologically informed deep learning to infergene program activity in single cells,Develop an interpretable bottleneck for single-cell data,sc-transcriptomics,Single-cell,"Gene sets, Genes",VAE (conditional),active,"attribution, global, hidden semantics, semi-local",,"attention, connection-weights, prior knowledge","PanglaoDB, Reactome",Unspecified,">10 000 & <50 000, >100 000 & < 200 000",< 10000,latent variables are directly interpretable as the activity of biological modules; ability to construct custom gene lists for annotation; allows other genes to be added to gene list (counteracts incomplete manual curation); allow to learn novel gene lists unsupervised,"Linear decoder. Requires a lot of data ",not sure semi-local or global,,uses regularized linear decoders (add penalty term on the weights of the linear decoder),"February 16, 2023 2:13 PM"
https://www.nature.com/articles/s41540-021-00193-7,"MethylSPWNet and MethylCapsNet: Biologically Motivated Organization of DNAm Neural Networks, Inspired by Capsule Networks",interpretability by organization of DNAm into biologically relevant capsules,CpGs (methylation),Bulk,"Gene sets, annotations",VAE,active,"attribution, global",,"connection-weights, prior knowledge","GSEA, Gene-annotations, MolSigDB",GPU (>13 GB),>1000 & <5000,< 500 000,custom capsules can be designed,"bottleneck of prior knowledge needed, computational limit of possible numbers of capsules ",,,"Prior knowledge, weight per connection","February 16, 2023 2:12 PM"
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2500-z,PASNet: pathway-associated sparse deep neural network for prognosis prediction from high-throughput data,build interpretable NN for GBM prediction; first paper with visible biological networks?!  They mention DCelll as predecessor,mRNA (gene expression),Bulk,Pathways,VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge",KEGG,GPU (<13 GB),>500 & <1000,< 10000,Every learned weight has a representation,quality of prior knowledge,,"KEGG, connection-weight, prior-knowledge","Prior knowledge, weight per connection","February 16, 2023 2:12 PM"
https://www.biorxiv.org/content/10.1101/2022.09.05.506572v1,Attention-based GCN integrates Multi-omics Data for Breast Cancer Subtype Classification and Patient-specific Gene Marker Identification,Breast cancer mulltiomics integration and prediction,"CNV, CpGs (methylation), mRNA (gene expression)",Bulk,"Genes, Protein",Graph Convolutional Network (GCN),passive,"attribution, semi-local",LRP (Layerwise Relevance Propagation),"attention, prior knowledge",StringDB,Unspecified,>500 & <1000,< 10000,biological connections (PPI) are network architecture,quality / abundance of prior knowledge (only took high confidence PPI),,,layer-wise relevance propagation,"February 16, 2023 2:12 PM"
https://link.springer.com/article/10.1007/s00521-019-04616-9,A snapshot neural ensemble method for cancer-type prediction based on copy number variations,Predict cancer using CNV,CNV,Bulk,Genes,"AE (convolutional), LSTM (convolutional), ensemble (MAE)",passive,"attribution, local",GradCAM,backpropagation,,GPU (<13 GB),">1000 & <5000, >500 & <1000",< 50000,"to apply GradCAM to biological input, they simply reshaped 1D → 2D and normalised between [0,255]",derived heatmaps are useless for interpretation (Figure 9); uncover few useful genes (unclear if due to approach or data),,backpropagation,,"February 16, 2023 2:12 PM"
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-3465-2,PathME: pathway based multi-modal sparse autoencoders for clustering of patient-level multi-omics data,Cluster patients based on multi-omics data,"CNV, CpGs (methylation), mRNA (gene expression), miRNA",Bulk,Pathways,AE,passive,"attribution, local",SHAP,"game theory, prior knowledge","KEGG, NCI, Reactome",Unspecified,">100 & < 200, >500 & <1000",< 10000,"map multi-omics to pathways, which are input to network → much fewer connections",encodes each pathway seperately for each entity → simplifies the problem (too much?),,SHAP,,"February 16, 2023 2:12 PM"
https://arxiv.org/abs/2003.03462),BasisVAE: Translation-invariant feature-level clustering with Variational Autoencoders,Simulatenously reduce dimension + cluster in latent space of a VAE,sc-transcriptomics,Single-cell,Genes,VAE,active,"global, hidden semantics",,"visualisation, visualize embedding",,"GPU (<13 GB), Unspecified",>5000 & <10 000,< 10000,fixes bottleneck that latent dimension can now be directly interpreted,could not show how useful clustering can be biologically,,other,,"February 16, 2023 2:13 PM"
https://pubmed.ncbi.nlm.nih.gov/?term=Alessandri%20L%5BAuthor%5Dhttps://www.ncbi.nlm.nih.gov/pmc/articles/PMC7785742/,Sparsely Connected Autoencoders: A Multi-Purpose Tool for Single Cell omics Analysis,make an interpretable embedding for AE,sc-transcriptomics,Single-cell,Genes,AE,active,"global, hidden semantics",,"prior knowledge, visualisation, visualize embedding",,"GPU (<13 GB), Unspecified",">1000 & <5000, >500 & <1000",< 10000,"customisable, provide metric measuring clustering accuracy","only 1 layer AE, use only experimentally validated prior knowledge → this is not a lot",,prior-knowledge,,"February 16, 2023 2:12 PM"
https://www.biorxiv.org/content/10.1101/2021.09.15.460498v2,Interpretable deep generative models for genomics,make an interpretable embedding for VAE,sc-transcriptomics,Single-cell,"Cells, Genes",VAE,active,semi-local,"DeepLIFT, Grad * Int, Integrated gradients, SHAP","visualisation, visualize embedding",,GPU (<13 GB),"> 1 000 000, >100 000 & < 200 000",< 100 000,shows good performance; universal; enables direct gene regulatory network analysis,complicated to understand,"interpretation similar to probabilistic PCA; adds also an “interpretability
regularization term”",other,,"February 16, 2023 2:13 PM"
https://www.sciencedirect.com/science/article/pii/S2667237521001235,A mixture-of-experts deep generative model for integrated analysis of single-cell multiomics data,build framework for single-cell multiomics,"sc-ATAC, sc-transcriptomics",Single-cell,"Cells, Genes",VAE,passive,"attribution, local",,perturbation,,Unspecified,>100 000 & < 200 000,< 1000,interpreting latent dimensions by perturbing and correlating result with input features → high correlation = embedded there,amount of available data is for rare cell populations limited,,perturbation,,"February 16, 2023 2:13 PM"
https://www.sciencedirect.com/science/article/pii/S1525157821002154,Identification of Tissue of Origin and Guided Therapeutic Applications in Cancers of Unknown Primary Using Deep Learning and RNA Sequencing (TransCUPtomics),"predict (unkown) tissue of origin of cancers ",mRNA (gene expression),Bulk,Genes,VAE,active,"attribution, global",,"connection-weights, other",,"CPU, GPU (<13 GB), Unspecified",>10 000 & <50 000,< 10000,easy to implement and understand,only 1 layer deep → effectively only linear,,connection-weight,,"February 16, 2023 2:13 PM"
https://www.biorxiv.org/content/10.1101/2021.12.21.473742v1,Explainable autoencoder-based representation learning for gene expression data,build an explainable AE,mRNA (gene expression),Bulk,Genes,AE,passive,"attribution, local",SHAP,game theory,,GPU (>13 GB),>1000 & <5000,< 100 000,easy to implement; identifies genes besides DEG,"SHAP uses a linear model to approximate, not unsupervised (needs an endpoint to predict)",,SHAP,,"February 16, 2023 2:12 PM"
https://link.springer.com/article/10.1007/s00521-003-0388-6,"A neuro-fuzzy approach for functional genomics data interpretation
and analysis",Fuzzy networks for predicting functional classes for gene of E.coli,mRNA (gene expression),Bulk,Genes,fuzzy network,passive,"global, rule",,other,,"CPU, GPU (<13 GB), Unspecified",unspecified,< 10000,combines implicit and explicit knowledge,rule set offers partial explanation and is harder to interpret if more factors contribute.,"eligible to exclude, did not use human data","connection-weight, prior-knowledge, rule-extraction",,"February 3, 2023 5:29 PM"
https://www.science.org/doi/10.1126/science.aat8464,Comprehensive functional genomic resource and integrative model for the human brain,integrative models for the functional genomics of the human brain,"SNPs, mRNA (gene expression)",Single-cell,"Cell type, Gene sets, Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge",,Unspecified,">50 & <100, >500 & <1000",unspecified,incorperated the found gene regulatory network in a visible neural network (deep boltzman machine) to improve prediction.,Complex model with multiple inputs and a lot of additional analyses to obtain the prior knowledge required to build the deep learning model.,"
imputed genotypes; intermediate phenotype data including gene expression, enhancer H3K27ac
activation levels, cell fraction estimates, and co-expression module mean expression","connection-weight, prior-knowledge",,"February 16, 2023 2:12 PM"
https://pubmed.ncbi.nlm.nih.gov/35936793/,MetastaSite: Predicting metastasis to different sites using deep learning with gene expression data,predicts whether patients’ samples are primary (localized) or metastasized to different regions,mRNA (gene expression),Bulk,Genes,AE,passive,"attribution, global, hidden semantics",DeepLIFT,backpropagation,Own data,GPU (<13 GB),>500 & <1000,< 10000,layer-wise interpretation of biological processes,unclear why AE was used here → fancy feature selection? Simply identified highly correlated genes?,,DeepLIFT,,"February 16, 2023 2:12 PM"
https://www.pnas.org/doi/epdf/10.1073/pnas.2114021119,Interpretable modeling of genotype–phenotype landscapes withstate-of-the-art predictive power,model genotype phenotype landscape (epistatic effects) in a fully interpretable model,SNPs,Bulk,SNPs,"Gaussian-Proces, PCA-like",passive,"global, hidden semantics",,"rule-extraction, visualisation",,GPU (>13 GB),">100 000 & < 200 000, >50 000 & < 100 000",< 10000,low dimensional space similar to PCA. Effects of mutations can be represented by vectors in this space. Uncertainty measures from gaussian proces.,"There are still multiple dimensions. Currently, two main components are visualized but if the latent space is larger information will be lost. The method provides global insight and uncertainty but is not fully interpretable.",First they model the genotype space as a an additive low-dimensional space and then they use Gaussian processes to model nonlinear (epistatic) effects on protein stability,"other, rule-extraction",,"February 16, 2023 2:13 PM"
https://d1wqtxts1xzle7.cloudfront.net/41266570/Deriving_meaningful_rules_from_gene_expr20160116-21535-cbdaq7-libre.pdf?1452946292=&response-content-disposition=inline%3B+filename%3DDeriving_meaningful_rules_from_gene_expr.pdf&Expires=1675681009&Signature=WXNE9QFwM-BWGfaBsrHRQ2CMHebYRUUU5xvV61vXbdVn5l3~Sw8oS-sn~pSDGdyFzl4Lvscmb3C3cRe88oaZr99qhERtkwRz2ZUXPE7L34RoxUcMGoFtwt4uTgU6VC3~SNfzUs6G95yEWk6dQAPlW55LtRtbmtgJuWU6vrY~8aI74sLpuGAlV3eTl3kmaWQ8AlESNw-2A91cUoMv6oHm3EX~j1VGR3ipOqcUlqvk0Z6zScYIUA~wHjSKOpzpr9VNSsVY1XmRfHSM7LfBHNwFyC6VcemfP00Jzrb3X2CZ1jWNjGL~ZbT~HLeoGIs3GIV6eSiT22wn3rWtN7rM4lxuPg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,Deriving meaningful rules from gene expression data for classification,deriving rules from gene expression datato destinguish between cancer types,mRNA (gene expression),Bulk,Genes,ANN,passive,"active, attribution, global, rule",,"Feature selection, other, rule-extraction",,GPU (<13 GB),>50 & <100,< 1000,fuzzy rules might improve generalization,Rules are derived from clusters so only a few rules per class are derived,Online feature selection during training of a small neural network followed by fuzzy clustering,"other, rule-extraction",,"February 16, 2023 2:38 PM"
https://academic.oup.com/bioinformatics/article/37/Supplement_1/i443/6319702,PathCNN: interpretable convolutional neural networks for survival prediction and pathway analysis applied to glioblastoma,Predicting long term survival for cancer using interpretable neural networks for multi-omics data,"CNV, CpGs (methylation), mRNA (gene expression)",Bulk,"Genes, Pathways",VNN (CNN),passive,"attribution, local",GradCAM,prior knowledge,KEGG,GPU (<13 GB),>200 & <500,< 100 000,Combines multi-omics data in a CNN architecture resulting in a strong computational model that is interpretable,"Input (pathway image) is a PCA of the inputs of the associated genes of the pathways,",,"GradCAM, KEGG, prior-knowledge",,"February 16, 2023 2:38 PM"
https://onlinelibrary.wiley.com/doi/10.1002/gepi.20307,"Comparison of Approaches for Machine-Learning Optimization
of Neural Networks for Detecting Gene-Gene Interactions
in Genetic Epidemiology","Grammatical evolution to optimize neural networks  ",SNPs,Bulk,"Genes, SNPs","ANN, VNN (dense)",active,global,,"other, rule-extraction",,"CPU, CPU (hpc)",>500 & <1000,< 1 mil,Evolutionary driven neural network architectures,"Computationally intensive, interpretetation method not specified.","not really focussed on interpretation, resutls in visible neural networks?","other, rule-extraction",,"February 16, 2023 2:12 PM"
https://arxiv.org/abs/2207.09783,Cancer Subtyping by Improved Transcriptomic Features Using Vector Quantized Variational Autoencoder,Cancer Subtyping,"mRNA (gene expression), miRNA",Bulk,Genes,AE (vector quantized),active,,,"visualisation, visualize embedding",,Unspecified,unspecified,unspecified,show very high clustering improvement,no feature-level interpretation; novel clusters identified need yet to be validated,"cant find sample size and inputsize ",,,"February 16, 2023 2:14 PM"
https://academic.oup.com/bioinformatics/article/36/12/3818/5811233,Cancer subtype classification and modeling by pathway attention and propagation,Cancer subtype classification,mRNA (gene expression),Bulk,"Genes, Pathways",Graph Convolutional Network (GCN),active,"attribution, local",,"attention, other, prior knowledge",KEGG,Unspecified,">100 & < 200, >200 & <500",< 10000,"Includes prior knowledge in a GCNs, combines these in an ensemble with attention for a strong interpretable model. Network propagation adds extra explenations","difficult to know what
part of the pathway was useful for characterizing the cancers",empty git,"Attention, prior-knowledge",,"February 16, 2023 2:12 PM"
https://academic.oup.com/g3journal/article/12/3/jkac020/6515290,A deep learning framework for characterization of genotype data,Visualize population structure,SNPs,Bulk,SNPs,AE (convolutional),active,hidden semantics,,"visualisation, visualize embedding",,"CPU (hpc), multi-gpu",>1000 & <5000,< 500 000,convolution seems to improve LD accuracy,"high computational cost, limited embedding with two latent variables",,other,,"February 16, 2023 2:38 PM"
https://ieeexplore.ieee.org/document/9119109,SAERMA: Stacked Autoencoder Rule Mining Algorithm for the Interpretation of Epistatic Interactions in GWAS for Extreme Obesity,Identify epistasis for obesity,SNPs,Bulk,"Genes, SNPs",AE (stacked),passive,global,,rule-extraction,,Unspecified,>1000 & <5000,< 10000,uncovers knowns + unknown interactions; fully transparent,very stringent preprocessing limits novelty; limited performance with a reasonable number of rules,,rule-extraction,,"February 16, 2023 2:38 PM"
https://academic.oup.com/nargab/article/3/4/lqab097/6412605,"ParsVNN: parsimony visible neural networks for uncovering cancer-specific and drug-sensitive genes
and pathways",Predict drug response for cancers,SNPs,Bulk,"Genes, Pathways",VNN (dense),active,"attribution, global, hidden semantics","Boolean logic, RLIPP","connection-weights, prior knowledge",Gene-Onthology,"GPU (<13 GB), Unspecified",>10 000 & <50 000,< 10000,Improves performance and interpretabiluty of DrugCell by pruning the network,no information about interactions or missing prior knowledge,,"Gene-Ontology, connection-weight, prior-knowledge",,"February 16, 2023 2:13 PM"
