Name,Year,Title,Research question,Data type,Bulk/single cell,Which level,Model architecture," Passive vs. Active Approaches",Taxonomy (Table 3. Zhan et al),Post-hoc interpretation method,Interpretation strategy,Prior knowledge,Computational resources used,Sample size,Inputsize,handpicked,Advantage,Disadvantage,Notes
https://academic.oup.com/g3journal/article/11/1/jkaa036/6105578,2021,Visualizing population structure with variational autoencoders,Visualize population structure,SNPs,Bulk,SNPs,VAE,active,"global, hidden semantics",Other,"connection-weights, visualize embedding",,GPU (<13 GB),">100 & < 200, >1000 & <5000, unspecified",< 100 000,No,"simple, Easy to plot",limited embedding with two latent variables,
https://www.nature.com/articles/s42003-021-02622-z,2021,GenNet framework: interpretable deep learning for predicting phenotypes from genetic data,Predicting phenotypes,"SNPs, WES",Bulk,"Cell type, Genes, Pathways, SNPs, Tissue type",VNN (dense),active,"attribution, global, hidden semantics",Other,"connection-weights, prior knowledge","GTEx, Gene-annotations, KEGG","CPU, GPU (<13 GB)",">100 & < 200, >5000 & <10 000",> 1 mil,No,Every learned weight has a representation,"limitedly data driven, quality of prior knowledge",
https://www.nature.com/articles/s41586-021-03922-4,2021,Biologically informed deep neural network for prostate cancer discovery,Predicting cancer,"CNV, CpGs (methylation), Fusions, SNV, mRNA (gene expression)",Bulk,"Genes, Pathways, SNPs",VNN (dense),"active, passive","attribution, global, hidden semantics",DeepLIFT,"gradient-based, prior knowledge","Gene-annotations, Reactome","CPU, GPU (<13 GB), Unspecified",>1000 & <5000,< 100 000,Yes,Every learned weight has a representation,"limitedly data driven, quality of prior knowledge",
https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1009826,2022,AIME: Autoencoder-based integrative multi-omics data embedding that allows for confounder adjustments,"Extract embedding from one omics that captures the relation to another omics ","mRNA (gene expression), miRNA",Bulk,miRNA,AE,passive,"attribution, global, hidden semantics",,permutation,,Unspecified,>500 & <1000,< 10000,No,"Easy method, can be applied to any network","only pairwise effects observable (1 input feature - 1 output feature), model-based approach needed to select which features really are important",
https://www.biorxiv.org/content/10.1101/2022.02.05.479217v1,2022,Biologically informed deep learning to infergene program activity in single cells,Develop an interpretable bottleneck for single-cell data,sc-transcriptomics,Single-cell,"Gene sets, Genes",VAE (conditional),active,"attribution, global, hidden semantics, semi-local",,"attention, connection-weights, prior knowledge","PanglaoDB, Reactome",Unspecified,">10 000 & <50 000, >100 000 & < 200 000",< 10000,Yes,latent variables are directly interpretable as the activity of biological modules; ability to construct custom gene lists for annotation; allows other genes to be added to gene list (counteracts incomplete manual curation); allow to learn novel gene lists unsupervised,"Linear decoder. Requires a lot of data ",not sure semi-local or global
https://www.nature.com/articles/s41540-021-00193-7,2021,"MethylSPWNet and MethylCapsNet: Biologically Motivated Organization of DNAm Neural Networks, Inspired by Capsule Networks",interpretability by organization of DNAm into biologically relevant capsules,CpGs (methylation),Bulk,"Gene sets, annotations",VAE,active,"attribution, global",,"connection-weights, prior knowledge","GSEA, Gene-annotations, MolSigDB",GPU (>13 GB),>1000 & <5000,< 500 000,No,custom capsules can be designed,"bottleneck of prior knowledge needed, computational limit of possible numbers of capsules ",
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-018-2500-z,2018,PASNet: pathway-associated sparse deep neural network for prognosis prediction from high-throughput data,build interpretable NN for GBM prediction; first paper with visible biological networks?!  They mention DCelll as predecessor,mRNA (gene expression),Bulk,Pathways,VNN (dense),active,"attribution, global, hidden semantics",,"connection-weights, prior knowledge",KEGG,GPU (<13 GB),>500 & <1000,< 10000,No,Every learned weight has a representation,quality of prior knowledge,
https://www.biorxiv.org/content/10.1101/2022.09.05.506572v1,2022,Attention-based GCN integrates Multi-omics Data for Breast Cancer Subtype Classification and Patient-specific Gene Marker Identification,Breast cancer mulltiomics integration and prediction,"CNV, CpGs (methylation), mRNA (gene expression)",Bulk,"Genes, Protein",Graph Convolutional Network (GCN),"active, passive","attribution, semi-local",LRP (Layerwise Relevance Propagation),"attention, prior knowledge, rule-based propagation",StringDB,Unspecified,>500 & <1000,< 10000,No,biological connections (PPI) are network architecture,quality / abundance of prior knowledge (only took high confidence PPI),
https://link.springer.com/article/10.1007/s00521-019-04616-9,2019,A snapshot neural ensemble method for cancer-type prediction based on copy number variations,Predict cancer using CNV,CNV,Bulk,Genes,"AE (convolutional), LSTM (convolutional), ensemble (MAE)",passive,"attribution, local",GradCAM,gradient-based,,GPU (<13 GB),">1000 & <5000, >500 & <1000",< 50000,No,"to apply GradCAM to biological input, they simply reshaped 1D → 2D and normalised between [0,255]",derived heatmaps are useless for interpretation (Figure 9); uncover few useful genes (unclear if due to approach or data),
https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-020-3465-2,2020,PathME: pathway based multi-modal sparse autoencoders for clustering of patient-level multi-omics data,Cluster patients based on multi-omics data,"CNV, CpGs (methylation), mRNA (gene expression), miRNA",Bulk,Pathways,AE,passive,"attribution, local",SHAP,"game theory, prior knowledge","KEGG, NCI, Reactome",Unspecified,">100 & < 200, >500 & <1000",< 10000,No,"map multi-omics to pathways, which are input to network → much fewer connections",encodes each pathway seperately for each entity → simplifies the problem (too much?),
https://arxiv.org/abs/2003.03462),2020,BasisVAE: Translation-invariant feature-level clustering with Variational Autoencoders,Simulatenously reduce dimension + cluster in latent space of a VAE,sc-transcriptomics,Single-cell,Genes,VAE,active,"global, hidden semantics",,"visualisation, visualize embedding",,"GPU (<13 GB), Unspecified",>5000 & <10 000,< 10000,No,fixes bottleneck that latent dimension can now be directly interpreted,could not show how useful clustering can be biologically,
